ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_end,shuffle,skipped,count
2023-12-19T06:54:52Z,desktop,1346,Toast,CLAUDIA,Toast,spotify:track:0rdkMTuORAVbsxIdiRCu8s,endplay,True,True,6
2023-12-19T06:56:27Z,desktop,7581,Only for a Moment,Eric Nam,House on a Hill,spotify:track:42B4Es8RTR5Owcfy3GHAQs,endplay,True,True,6
2023-08-02T03:49:12Z,desktop,15789,Funeral,Boys World,"me, my girls & i",spotify:track:467ZAmkJAgJVAneM1ue72S,endplay,True,True,6
2023-12-20T20:45:47Z,desktop,46658,Eye Contact,fromis_9,Unlock My World,spotify:track:74mwyHRsGfQlDU2OMZELES,fwdbtn,True,True,6
2023-12-20T20:53:02Z,desktop,1114,Broken Melodies,NCT DREAM,Broken Melodies,spotify:track:5OehhztxLfJeCxUMbFfPy6,fwdbtn,True,True,6
2023-05-27T02:07:17Z,desktop,25913,Burn The House Down,AJR,The Click,spotify:track:0TkJIyL69RAUIbNwGub6uR,endplay,True,True,6
2023-05-27T02:03:03Z,desktop,68347,Kitsch,IVE,I've IVE,spotify:track:7foeH2Emgq8A3LWk3q6dat,endplay,True,True,6
2024-02-22T05:48:41Z,desktop,2850,New,Ben Platt,Sing To Me Instead,spotify:track:4q9vIHlDyzwNtbKqgCHVIB,endplay,False,True,6
2023-05-29T04:58:11Z,phone,10952,FLOWER,JISOO,ME,spotify:track:69CrOS7vEHIrhC2ILyEi0s,fwdbtn,True,True,6
2023-05-30T20:13:51Z,phone,7560,"Surfin’ (Lee Know, Changbin, Felix)",Stray Kids,NOEASY,spotify:track:1FdnsU6An1Ye3uBJe8j23c,fwdbtn,True,True,6
2024-02-22T05:42:46Z,desktop,7970,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:track:43zdsphuZLzwA9k4DJhU0I,endplay,True,True,6
2024-02-22T05:48:38Z,desktop,1460,Waves,Dean Lewis,Same Kind Of Different,spotify:track:0hNOP5epEjX8Zj5aSGr6JU,endplay,False,True,6
2023-06-26T19:07:23Z,desktop,905,Attack on Bangtan,BTS,"O!RUL8,2?",spotify:track:06PapYCtVDlprJPgGELabn,fwdbtn,True,True,6
2023-06-26T13:54:09Z,phone,217859,Not Today,BTS,You Never Walk Alone,spotify:track:3wyrhwPpV8uhMMEms4vG3X,fwdbtn,False,True,6
2023-06-26T17:50:29Z,desktop,2728,Best Of Me,BTS,Love Yourself 承 'Her',spotify:track:5C6A1WXVfKvBBQmaFFnBgs,endplay,True,True,6
2023-06-26T02:46:04Z,desktop,11551,Answer,ATEEZ,TREASURE EPILOGUE : Action To Answer,spotify:track:3IdPtyJHB1WVPM4eCiCAKM,endplay,True,True,6
2024-01-20T23:25:08Z,phone,65414,Top or Cliff,KIMSEJEONG,Door,spotify:track:6nxaMLoDXkG0NlwV46Jnvb,endplay,True,True,6
2023-12-19T07:08:56Z,desktop,3250,Cover Me,Stray Kids,ROCK-STAR,spotify:track:5dUjBnP5zrWpWA5RGrr73g,endplay,True,True,6
2023-08-05T01:30:50Z,desktop,55971,Sherlock (Clue + Note),SHINee,Sherlock - The 4th Mini Album,spotify:track:2sVtrcj32v3fR8mLjqWziv,endplay,True,True,6
2023-12-19T06:57:37Z,desktop,5294,Skipping Stones,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,spotify:track:0bPy1iMfSOO2pevpXLhnoG,endplay,True,True,6
2023-03-16T01:37:09Z,desktop,1497,Paradise,NiziU,Paradise,spotify:track:4j3ZYby4xNDuqfHb3Crm4k,fwdbtn,True,True,6
2023-03-17T21:55:05Z,desktop,35096,MOODY,SUPERKIND,PlaySUPERKIND : Player Gauge 200,spotify:track:03viAjcdfgfr6O2n9ZDRUr,endplay,True,True,6
2023-08-02T15:26:36Z,desktop,4411,Blue,BIGBANG,ALIVE,spotify:track:4LOLvDtzykDC7y9WehFoOi,endplay,True,True,6
2023-05-24T17:32:09Z,phone,19562,Snap Shoot,SEVENTEEN,An Ode,spotify:track:1Yimn9plSAWNv9G3ePzITO,endplay,True,True,6
2023-12-11T05:48:30Z,desktop,1170,Angel,Halle,Angel,spotify:track:2soZTM1x1GBiQGMAsXKXpd,fwdbtn,True,True,6
2022-11-24T03:23:29Z,desktop,17647,Sunday Crossword,J. Maya,Sunday Crossword,spotify:track:3CB973XnoNN2QBAF5yaBxU,endplay,True,True,6
2022-10-30T00:31:10Z,desktop,905,BEcause,Dreamcatcher,[Summer Holiday],spotify:track:3L74uwShK0JqEUZ5Y2JoDW,fwdbtn,True,True,6
2024-02-22T05:56:25Z,desktop,4280,Devil Doesn’t Bargain,Alec Benjamin,(Un)Commentary,spotify:track:1zu2GKHPJIsUu80SUJX4H4,endplay,False,True,6
2023-05-25T02:18:20Z,desktop,15998,Hard to Love,BLACKPINK,BORN PINK,spotify:track:3MJhPqL2IgGs7gHEB2M35q,endplay,True,True,6
2023-12-11T06:00:07Z,desktop,2350,Honestly,LIMELIGHT,LIMELIGHT DEBUT EP 'LOVE & HAPPINESS',spotify:track:5HB8Olk0vxhv8ynsh1x04y,fwdbtn,True,True,6
2023-10-02T03:54:34Z,desktop,3310,Fear,SEVENTEEN,An Ode,spotify:track:1SgRnIFTs39lSkQJACYDoY,endplay,True,True,6
2023-06-06T02:46:32Z,desktop,47925,Lilith,Halsey,"If I Can’t Have Love, I Want Power",spotify:track:5pteD2j5hzE9qeP8BrVT1o,endplay,True,True,6
2023-06-06T02:27:21Z,desktop,119083,Wishlist,fromis_9,Unlock My World,spotify:track:1zdl1HSCwuhwPIof0eADzj,endplay,True,True,6
2023-08-05T01:57:47Z,desktop,7430,Allergy,(G)I-DLE,I feel,spotify:track:38MKW2tQHtyO8djIOKlEFF,endplay,True,True,6
2023-08-05T01:48:27Z,desktop,3308,Action Figure,WayV,Kick Back - The 3rd Mini Album,spotify:track:1Z9r4lrkfPK41tfqM6UKMx,endplay,True,True,6
2023-05-27T01:55:09Z,desktop,14326,Killer,KEY,Killer - The 2nd Album Repackage,spotify:track:62DuGCeDO3gfVkKe0gBM9m,endplay,True,True,6
2023-12-11T06:00:40Z,desktop,5820,Diamond Days,SEVENTEEN,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',spotify:track:6n5M2Al3QgTScpO4AZH9OI,backbtn,True,True,5
2022-11-16T04:43:48Z,desktop,16446,PLAY,LUCY,Childhood,spotify:track:0ddSLVdbpKFO1FtIYpYnw9,endplay,True,True,5
2022-11-07T18:50:37Z,desktop,58244,Atlantis,Seafret,Tell Me It's Real,spotify:track:1Fid2jjqsHViMX6xNH70hE,fwdbtn,True,True,5
2022-10-30T00:36:02Z,desktop,580,Anyone,SEVENTEEN,SEVENTEEN 8th Mini Album 'Your Choice',spotify:track:12jngD7Hu6if6sIzPkO2k4,fwdbtn,True,True,5
2022-10-30T01:32:45Z,desktop,197183,PTT (Paint The Town),LOONA,[&],spotify:track:5awNIWVrh2ISfvPd5IUZNh,endplay,True,True,5
